what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1593255118462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255124289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255132031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255143125
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1593255152293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255153497
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1593255155380
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255155744
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1593255156080
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255156145
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1593255156414
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1593255156838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255161482
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1593255170236
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1593255170428
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1593255170574
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1593255170652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255171192
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1593255171215
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255174672
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593255175411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255176868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255181007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255181655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255196618
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1593255202965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593255203414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593255204274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593255210347
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593255220799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255222748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255223006
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593255226710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255227426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255227633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255227831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255237324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593255269931
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1593255308580
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1593255312187
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593255315673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255317453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255317698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255317775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255327640
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255327840
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255327949
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255330543
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1593255332452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255333748
error,log,,,"Could not retrieve interfaces",1593255333881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255333987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255334091
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255363804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255367062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255371105
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255385628
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1593255391397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593255407424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1593255415421
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1593255419319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255451688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255454266
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1593255454366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593255456286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255465725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255471653
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593255473165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593255475106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255476388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593255987976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1593255993660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256004478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256015878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593256035042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256038718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256067720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256076628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256099071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593256112928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256114805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256119452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1593256123965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256124874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256160232
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1593256163662
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593256168388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593256168487
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593256187055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1593256196864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1593256201765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1593256207326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593256208145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1593256212110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593256212542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256215138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256295626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256297605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1593256298473
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1593256300162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1593256308074
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1593256308376
